EC-Lab ASCII FILE
Nb header lines : 53                          

Cyclic Voltammetry

Run on channel : 1 (SN 24330)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10/05/2017 17:30:03
Saved on :
	File : Co_13_200mV_01_CV_02_CV_02_CV_C01.mpr
	Directory : C:\Users\usuario\Documents\EC-Lab\Data\Federico\R=H\CO2 reduction\CV_scan rates CO2_0,4 mM_GC 1mm_5-10-2017\
	Host : 192.168.1.115
Device : VSP (SN 1463)
Address : USB
EC-Lab for windows v11.10 (software)
Internet server v11.10 (firmware)
Command interpretor v11.10 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Ei (V)              0,100               
vs.                 Ref                 
dE/dt               200,000             
dE/dt unit          mV/s                
E1 (V)              -1,870              
vs.                 Ref                 
Step percent        50                  
N                   20                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              1,000               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	Rcmp/Ohm	P/W
2	0	0	1	0	2,7595	0,00272382307	0,00209538359	-7,974015340556951E-005	1	-2,97874596E-008	338,910034	1,67086206E-010
2	0	0	1	0	2,7715	0,000323823886	-0,000327947462	-8,0255253745339136E-005	1	-3,0714336E-008	338,910034	2,63195073E-011
2	0	0	1	0	2,7835	-0,00207617669	-0,00269648922	-8,0478878650661274E-005	1	-3,16452109E-008	338,910034	2,17010424E-010
2	0	0	1	0	2,7955	-0,00447617797	-0,00517963991	-8,3195921174014336E-005	1	-3,25977076E-008	338,910034	4,30924907E-010
2	0	0	1	0	2,8075	-0,00687617902	-0,00762860896	-8,2309787125878515E-005	1	-3,35641595E-008	338,910034	6,27909169E-010
2	0	0	1	0	2,8195	-0,00927618053	-0,0100328401	-8,3429602145351155E-005	1	-3,45314888E-008	338,910034	8,3703583E-010
2	0	0	1	0	2,8315	-0,0116761802	-0,0124049019	-8,4670027259709965E-005	1	-3,5508176E-008	338,910034	1,05032338E-009
2	0	0	1	0	2,8435	-0,0140761826	-0,0148176784	-8,5636576354692749E-005	1	-3,64916808E-008	338,910034	1,26893529E-009
2	0	0	1	0	2,8555	-0,0164761841	-0,0171811935	-8,6807479492104282E-005	1	-3,7488423E-008	338,910034	1,49145607E-009
2	0	0	1	0	2,8675	-0,0188761838	-0,019625131	-8,6269767944769331E-005	1	-3,84956671E-008	338,910034	1,69305547E-009
2	0	0	1	0	2,8795	-0,0212761834	-0,0220449474	-8,7512706201913562E-005	1	-3,95120168E-008	338,910034	1,92921301E-009
2	0	0	1	0	2,8915	-0,0236761868	-0,0243798103	-8,861577482059831E-005	1	-4,05360225E-008	338,910034	2,16043583E-009
2	0	0	1	0	2,9035	-0,0260761883	-0,0268197339	-8,949521256390505E-005	1	-4,15705124E-008	338,910034	2,40023779E-009
2	0	0	1	0	2,9155	-0,028476188	-0,0292531215	-9,1006166235573517E-005	1	-4,26180797E-008	338,910034	2,66221445E-009
2	0	0	1	0	2,9275	-0,0308761895	-0,0316131152	-9,048855584549952E-005	1	-4,36736158E-008	338,910034	2,86062507E-009
2	0	0	1	0	2,9395	-0,0332761854	-0,0340077914	-9,2255805997721984E-005	1	-4,47392274E-008	338,910034	3,1374161E-009
2	0	0	1	0	2,9515	-0,0356761888	-0,0364542492	-9,2967734057960742E-005	1	-4,58147902E-008	338,910034	3,38906903E-009
2	0	0	1	0	2,9635	-0,0380761921	-0,0388157554	-9,33806549372352E-005	1	-4,68988652E-008	338,910034	3,62464059E-009
2	0	0	1	0	2,9755	-0,0404761918	-0,0412129462	-9,4535648838800589E-005	1	-4,79945044E-008	338,910034	3,89609278E-009
2	0	0	1	0	2,9875	-0,0428761989	-0,0436031111	-9,4991278487305421E-005	1	-4,91026313E-008	338,910034	4,14191526E-009
2	0	0	1	0	2,9995	-0,0452761985	-0,0459897481	-9,6320486252072678E-005	1	-5,02202617E-008	338,910034	4,42975479E-009
2	0	0	1	0	3,0115	-0,0476761945	-0,0484296642	-9,6864063192569779E-005	1	-5,13463405E-008	338,910034	4,69109418E-009
2	0	0	1	0	3,0235	-0,0500761941	-0,0508228354	-9,8122075496177203E-005	1	-5,24790309E-008	338,910034	4,98684205E-009
2	0	0	1	0	3,0355	-0,0524761938	-0,053267289	-9,9272044901242278E-005	1	-5,36262874E-008	338,910034	5,28795274E-009
2	0	0	1	0	3,0475	-0,0548761971	-0,0555910841	-9,9152275531989402E-005	1	-5,47859287E-008	338,910034	5,51198243E-009
2	0	0	1	0	3,0595	-0,0572761968	-0,0580345206	-0,00010053508503616269	1	-5,59564377E-008	338,910034	5,83450532E-009
2	0	0	1	0	3,0715	-0,0596762039	-0,0604317226	-0,00010122272157443843	1	-5,71351961E-008	338,910034	6,1170633E-009
2	0	0	1	0	3,0835	-0,0620761961	-0,0628243908	-0,00010220266552588918	1	-5,83208291E-008	338,910034	6,42082032E-009
2	0	0	1	0	3,0955	-0,0644761994	-0,0652155578	-0,00010340122061062042	1	-5,95197207E-008	338,910034	6,74336809E-009
